station_id,date,value,file_used,processing_time
54259,2013-01-05,56.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50639,2013-01-05,49.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50527,2013-01-05,38.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50526,2013-01-05,45.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50525,2013-01-05,38.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50524,2013-01-05,36.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54171,2013-01-05,67.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54041,2013-01-05,49.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53469,2013-01-05,31.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
58457,2013-01-05,0.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54374,2013-01-05,56.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54263,2013-01-05,67.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50434,2013-01-05,41.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50924,2013-01-05,51.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50431,2013-01-05,40.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53472,2013-01-05,31.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53368,2013-01-05,37.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50948,2013-01-05,64.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53367,2013-01-05,36.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54181,2013-01-05,56.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53362,2013-01-05,41.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54342,2013-01-05,44.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51463,2013-01-05,43.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51465,2013-01-05,47.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54346,2013-01-05,46.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50838,2013-01-05,31.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54063,2013-01-05,65.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50548,2013-01-05,54.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51542,2013-01-05,52.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50658,2013-01-05,64.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50833,2013-01-05,54.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50834,2013-01-05,34.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54276,2013-01-05,54.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50425,2013-01-05,38.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54273,2013-01-05,64.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50936,2013-01-05,47.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50656,2013-01-05,64.0,20130105_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51156,2013-01-06,25.0,20130106_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54218,2013-01-10,44.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53484,2013-01-10,25.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54195,2013-01-10,32.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50950,2013-01-10,61.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54115,2013-01-10,43.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54113,2013-01-10,43.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53083,2013-01-10,38.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50557,2013-01-10,56.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50246,2013-01-10,41.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51068,2013-01-10,30.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54263,2013-01-10,63.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50647,2013-01-10,53.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54266,2013-01-10,59.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50645,2013-01-10,51.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54041,2013-01-10,52.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50968,2013-01-10,52.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54208,2013-01-10,40.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54047,2013-01-10,48.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50963,2013-01-10,49.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54049,2013-01-10,63.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54204,2013-01-10,35.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54205,2013-01-10,42.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54122,2013-01-10,40.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54284,2013-01-10,52.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
58506,2013-01-10,0.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54766,2013-01-10,0.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54837,2013-01-10,0.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50727,2013-01-10,58.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50788,2013-01-10,59.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51379,2013-01-10,47.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50564,2013-01-10,61.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
53399,2013-01-10,33.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54923,2013-01-10,0.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50949,2013-01-10,57.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50873,2013-01-10,68.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54339,2013-01-10,35.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50349,2013-01-10,44.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54134,2013-01-10,44.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54135,2013-01-10,38.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
54932,2013-01-10,32.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50913,2013-01-10,50.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
51368,2013-01-10,46.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
50774,2013-01-10,52.0,20130110_northern_hemisphere_swe_0.25grid.nc,2025-08-20 10:03:51
